ilosc,nazwaUczelni,nazwaKierunku,nazwaStopnia
17,UNIWERSYTET WARSZAWSKI                                                                                                                                                                                                                                         ,Polityka społeczna,Studia drugiego stopnia
17,UNIWERSYTET WARSZAWSKI                                                                                                                                                                                                                                         ,Geologia,Studia drugiego stopnia
17,UNIWERSYTET WARSZAWSKI                                                                                                                                                                                                                                         ,Zastosowania fizyki w biologii i medycynie,Studia pierwszego stopnia
17,UNIWERSYTET WARSZAWSKI                                                                                                                                                                                                                                         ,Slawistyka,Studia pierwszego stopnia
17,UNIWERSYTET WARSZAWSKI                                                                                                                                                                                                                                         ,Polityka społeczna,Studia drugiego stopnia
17,UNIWERSYTET WARSZAWSKI                                                                                                                                                                                                                                         ,Geologia,Studia drugiego stopnia
17,UNIWERSYTET WARSZAWSKI                                                                                                                                                                                                                                         ,Zastosowania fizyki w biologii i medycynie,Studia pierwszego stopnia
17,UNIWERSYTET WROCŁAWSKI                                                                                                                                                                                                                                         ,Pedagogika specjalna,Studia pierwszego stopnia
17,WARSZAWSKA UCZELNIA MEDYCZNA IM. TADEUSZA KOŹLUKA                                                                                                                                                                                                              ,Kosmetologia,Studia pierwszego stopnia
17,WARSZAWSKA UCZELNIA MEDYCZNA IM. TADEUSZA KOŹLUKA                                                                                                                                                                                                              ,Kosmetologia,Studia pierwszego stopnia
17,WOJSKOWA AKADEMIA TECHNICZNA IM. JAROSŁAWA DĄBROWSKIEGO W WARSZAWIE                                                                                                                                                                                            ,Inżynieria bezpieczeństwa,Studia pierwszego stopnia
17,WOJSKOWA AKADEMIA TECHNICZNA IM. JAROSŁAWA DĄBROWSKIEGO W WARSZAWIE                                                                                                                                                                                            ,Inżynieria bezpieczeństwa,Studia pierwszego stopnia
17,WSZECHNICA POLSKA - SZKOŁA WYŻSZA W WARSZAWIE                                                                                                                                                                                                                  ,Administracja,Studia pierwszego stopnia
17,WSZECHNICA POLSKA - SZKOŁA WYŻSZA W WARSZAWIE                                                                                                                                                                                                                  ,Administracja,Studia pierwszego stopnia
17,WYŻSZA SZKOŁA AGROBIZNESU W ŁOMŻY                                                                                                                                                                                                                              ,Pedagogika,Studia pierwszego stopnia
17,WYŻSZA SZKOŁA BEZPIECZEŃSTWA W POZNANIU                                                                                                                                                                                                                        ,Zarządzanie,Studia pierwszego stopnia
17,WYŻSZA SZKOŁA BEZPIECZEŃSTWA W POZNANIU                                                                                                                                                                                                                        ,Bezpieczeństwo zdrowotne,Studia pierwszego stopnia
17,WYŻSZA SZKOŁA EKOLOGII I ZARZĄDZANIA W WARSZAWIE                                                                                                                                                                                                               ,Ochrona środowiska,Studia drugiego stopnia
17,WYŻSZA SZKOŁA EKOLOGII I ZARZĄDZANIA W WARSZAWIE                                                                                                                                                                                                               ,Ochrona środowiska,Studia drugiego stopnia
17,WYŻSZA SZKOŁA GOSPODARKI KRAJOWEJ W KUTNIE                                                                                                                                                                                                                     ,Geodezja i kartografia,Studia pierwszego stopnia
17,WYŻSZA SZKOŁA GOSPODARKI W BYDGOSZCZY                                                                                                                                                                                                                          ,Wychowanie fizyczne,Studia pierwszego stopnia
17,WYŻSZA SZKOŁA GOSPODARKI W BYDGOSZCZY                                                                                                                                                                                                                          ,Turystyka i rekreacja,Studia drugiego stopnia
17,WYŻSZA SZKOŁA KULTURY SPOŁECZNEJ I MEDIALNEJ W TORUNIU                                                                                                                                                                                                         ,Politologia,Studia drugiego stopnia
17,WYŻSZA SZKOŁA TECHNICZNA W KATOWICACH                                                                                                                                                                                                                          ,Budownictwo,Studia drugiego stopnia
17,WYŻSZA SZKOŁA TURYSTYKI I EKOLOGII W SUCHEJ BESKIDZKIEJ                                                                                                                                                                                                        ,Informatyka,Studia pierwszego stopnia
18,AKADEMIA GÓRNICZO-HUTNICZA IM. STANISŁAWA STASZICA W KRAKOWIE                                                                                                                                                                                                  ,Inżynieria ciepła,Studia drugiego stopnia
18,AKADEMIA HUMANISTYCZNO-EKONOMICZNA W ŁODZI                                                                                                                                                                                                                     ,Politologia,Studia pierwszego stopnia
18,AKADEMIA HUMANISTYCZNO-EKONOMICZNA W ŁODZI                                                                                                                                                                                                                     ,Turystyka i rekreacja,Studia pierwszego stopnia
18,AKADEMIA IM. JAKUBA Z PARADYŻA W GORZOWIE WIELKOPOLSKIM                                                                                                                                                                                                        ,Zarządzanie,Studia pierwszego stopnia
18,AKADEMIA MUZYCZNA IM. IGNACEGO JANA PADEREWSKIEGO W POZNANIU                                                                                                                                                                                                   ,Edukacja artystyczna w zakresie sztuki muzycznej,Studia pierwszego stopnia
18,AKADEMIA SZTUK PIĘKNYCH IM. EUGENIUSZA GEPPERTA WE WROCŁAWIU                                                                                                                                                                                                   ,Architektura wnętrz,Studia drugiego stopnia
18,AKADEMIA SZTUK PIĘKNYCH W GDAŃSKU                                                                                                                                                                                                                              ,Wzornictwo,Studia pierwszego stopnia
18,AKADEMIA SZTUK PIĘKNYCH W WARSZAWIE                                                                                                                                                                                                                            ,Sztuka mediów,Studia drugiego stopnia
18,AKADEMIA SZTUK PIĘKNYCH W WARSZAWIE                                                                                                                                                                                                                            ,Wzornictwo,Studia pierwszego stopnia
18,AKADEMIA SZTUK PIĘKNYCH W WARSZAWIE                                                                                                                                                                                                                            ,Sztuka mediów,Studia drugiego stopnia
18,AKADEMIA SZTUK PIĘKNYCH W WARSZAWIE                                                                                                                                                                                                                            ,Wzornictwo,Studia pierwszego stopnia
18,COLLEGIUM MAZOVIA INNOWACYJNA SZKOŁA WYŻSZA W SIEDLCACH                                                                                                                                                                                                        ,Finanse i rachunkowość,Studia pierwszego stopnia
18,COLLEGIUM MAZOVIA INNOWACYJNA SZKOŁA WYŻSZA W SIEDLCACH                                                                                                                                                                                                        ,Finanse i rachunkowość,Studia pierwszego stopnia
18,GDAŃSKI UNIWERSYTET MEDYCZNY                                                                                                                                                                                                                                   ,Zdrowie środowiskowe,Studia pierwszego stopnia
18,GÓRNOŚLĄSKA WYŻSZA SZKOŁA HANDLOWA IM. WOJCIECHA KORFANTEGO W KATOWICACH                                                                                                                                                                                       ,Psychologia,Studia magisterskie jednolite
18,KARPACKA PAŃSTWOWA UCZELNIA W KROŚNIE                                                                                                                                                                                                                          ,Wychowanie fizyczne,Studia pierwszego stopnia
18,KARPACKA PAŃSTWOWA UCZELNIA W KROŚNIE                                                                                                                                                                                                                          ,Inżynieria środowiska,Studia pierwszego stopnia
18,KARPACKA PAŃSTWOWA UCZELNIA W KROŚNIE                                                                                                                                                                                                                          ,Górnictwo i geologia,Studia pierwszego stopnia
18,KATOLICKI UNIWERSYTET LUBELSKI JANA PAWŁA II                                                                                                                                                                                                                   ,Muzykologia,Studia pierwszego stopnia
18,KATOLICKI UNIWERSYTET LUBELSKI JANA PAWŁA II                                                                                                                                                                                                                   ,Biotechnologia,Studia drugiego stopnia
18,KATOLICKI UNIWERSYTET LUBELSKI JANA PAWŁA II                                                                                                                                                                                                                   ,Praca socjalna,Studia pierwszego stopnia
18,KUJAWSKO-POMORSKA SZKOŁA WYŻSZA W BYDGOSZCZY                                                                                                                                                                                                                   ,Praca socjalna,Studia pierwszego stopnia
18,ŁUŻYCKA SZKOŁA WYŻSZA IM. JANA BENEDYKTA SOLFY W ŻARACH                                                                                                                                                                                                        ,Pedagogika,Studia drugiego stopnia
18,PAŃSTWOWA SZKOŁA WYŻSZA IM. PAPIEŻA JANA PAWŁA II W BIAŁEJ PODLASKIEJ                                                                                                                                                                                          ,Rolnictwo,Studia pierwszego stopnia
18,PAŃSTWOWA UCZELNIA IM. STEFANA BATOREGO W SKIERNIEWICACH                                                                                                                                                                                                       ,Dietetyka,Studia pierwszego stopnia
18,PAŃSTWOWA UCZELNIA STANISŁAWA STASZICA W PILE                                                                                                                                                                                                                  ,Mechanika i budowa maszyn,Studia pierwszego stopnia
18,PAŃSTWOWA WYŻSZA SZKOŁA ZAWODOWA IM. JANA AMOSA KOMEŃSKIEGO W LESZNIE                                                                                                                                                                                          ,Budownictwo,Studia pierwszego stopnia
18,PAŃSTWOWA WYŻSZA SZKOŁA ZAWODOWA IM. PROF. EDWARDA F. SZCZEPANIKA W SUWAŁKACH                                                                                                                                                                                  ,Filologia,Studia pierwszego stopnia
18,PAŃSTWOWA WYŻSZA SZKOŁA ZAWODOWA IM. PROF. EDWARDA F. SZCZEPANIKA W SUWAŁKACH                                                                                                                                                                                  ,Budownictwo,Studia pierwszego stopnia
18,PAŃSTWOWA WYŻSZA SZKOŁA ZAWODOWA IM. WITELONA W LEGNICY                                                                                                                                                                                                        ,Dietetyka,Studia pierwszego stopnia
18,PAŃSTWOWA WYŻSZA SZKOŁA ZAWODOWA W ELBLĄGU                                                                                                                                                                                                                     ,Pedagogika,Studia pierwszego stopnia
18,PAŃSTWOWA WYŻSZA SZKOŁA ZAWODOWA W GŁOGOWIE                                                                                                                                                                                                                    ,Automatyka i robotyka,Studia pierwszego stopnia
18,PAŃSTWOWA WYŻSZA SZKOŁA ZAWODOWA W KOSZALINIE                                                                                                                                                                                                                  ,Wychowanie fizyczne,Studia pierwszego stopnia
18,PAŃSTWOWA WYŻSZA SZKOŁA ZAWODOWA W RACIBORZU                                                                                                                                                                                                                   ,Architektura,Studia pierwszego stopnia
18,POLITECHNIKA GDAŃSKA                                                                                                                                                                                                                                           ,Inżynieria biomedyczna,Studia drugiego stopnia
18,POLITECHNIKA KOSZALIŃSKA                                                                                                                                                                                                                                       ,Ekonomia,Studia pierwszego stopnia
18,POLITECHNIKA KOSZALIŃSKA                                                                                                                                                                                                                                       ,Zarządzanie,Studia pierwszego stopnia
18,POLITECHNIKA KOSZALIŃSKA                                                                                                                                                                                                                                       ,Inżynieria i automatyzacja w przemyśle drzewnym,Studia pierwszego stopnia
18,POLITECHNIKA ŚLĄSKA W GLIWICACH                                                                                                                                                                                                                                ,Zarządzanie projektami,Studia drugiego stopnia
18,POLITECHNIKA WROCŁAWSKA                                                                                                                                                                                                                                        ,Technologie ochrony środowiska,Studia drugiego stopnia
18,POLITECHNIKA WROCŁAWSKA                                                                                                                                                                                                                                        ,Electronic and computer engineering,Studia pierwszego stopnia
18,POLSKO-JAPOŃSKA AKADEMIA TECHNIK KOMPUTEROWYCH W WARSZAWIE                                                                                                                                                                                                     ,Architektura wnętrz,Studia pierwszego stopnia
18,POLSKO-JAPOŃSKA AKADEMIA TECHNIK KOMPUTEROWYCH W WARSZAWIE                                                                                                                                                                                                     ,Architektura wnętrz,Studia pierwszego stopnia
18,ŚLĄSKA WYŻSZA SZKOŁA MEDYCZNA W KATOWICACH                                                                                                                                                                                                                     ,Gastronomia,Studia pierwszego stopnia
18,UCZELNIA JANA WYŻYKOWSKIEGO W POLKOWICACH                                                                                                                                                                                                                      ,Logistyka,Studia pierwszego stopnia
18,UCZELNIA TECHNICZNO-HANDLOWA IM. HELENY CHODKOWSKIEJ W WARSZAWIE                                                                                                                                                                                               ,Architektura wnętrz,Studia pierwszego stopnia
18,UCZELNIA TECHNICZNO-HANDLOWA IM. HELENY CHODKOWSKIEJ W WARSZAWIE                                                                                                                                                                                               ,Architektura wnętrz,Studia pierwszego stopnia
18,UNIWERSYTET EKONOMICZNY W KATOWICACH                                                                                                                                                                                                                           ,Gospodarka turystyczna,Studia pierwszego stopnia
18,UNIWERSYTET EKONOMICZNY W KRAKOWIE                                                                                                                                                                                                                             ,Modern business management,Studia pierwszego stopnia
18,UNIWERSYTET EKONOMICZNY WE WROCŁAWIU                                                                                                                                                                                                                           ,Analityka gospodarcza,Studia drugiego stopnia
18,UNIWERSYTET GDAŃSKI                                                                                                                                                                                                                                            ,Lingwistyka stosowana,Studia drugiego stopnia
18,UNIWERSYTET IM. ADAMA MICKIEWICZA W POZNANIU                                                                                                                                                                                                                   ,Kulturoznawstwo,Studia drugiego stopnia
18,UNIWERSYTET IM. ADAMA MICKIEWICZA W POZNANIU                                                                                                                                                                                                                   ,Fizyka medyczna,Studia drugiego stopnia
18,UNIWERSYTET IM. ADAMA MICKIEWICZA W POZNANIU                                                                                                                                                                                                                   ,Analityka żywności,Studia drugiego stopnia
18,UNIWERSYTET JAGIELLOŃSKI W KRAKOWIE                                                                                                                                                                                                                            ,Wiedza o teatrze,Studia pierwszego stopnia
18,UNIWERSYTET JAGIELLOŃSKI W KRAKOWIE                                                                                                                                                                                                                            ,Archeologia,Studia drugiego stopnia
18,UNIWERSYTET JAGIELLOŃSKI W KRAKOWIE                                                                                                                                                                                                                            ,Polonistyka - komparatystyka,Studia pierwszego stopnia
18,UNIWERSYTET KARDYNAŁA STEFANA WYSZYŃSKIEGO W WARSZAWIE                                                                                                                                                                                                         ,Historia sztuki,Studia pierwszego stopnia
18,UNIWERSYTET KARDYNAŁA STEFANA WYSZYŃSKIEGO W WARSZAWIE                                                                                                                                                                                                         ,Historia,Studia pierwszego stopnia
18,UNIWERSYTET KARDYNAŁA STEFANA WYSZYŃSKIEGO W WARSZAWIE                                                                                                                                                                                                         ,Historia sztuki,Studia pierwszego stopnia
18,UNIWERSYTET KARDYNAŁA STEFANA WYSZYŃSKIEGO W WARSZAWIE                                                                                                                                                                                                         ,Historia,Studia pierwszego stopnia
18,UNIWERSYTET ŁÓDZKI                                                                                                                                                                                                                                             ,Chemia kosmetyczna,Studia pierwszego stopnia
18,UNIWERSYTET ŁÓDZKI                                                                                                                                                                                                                                             ,Gospodarka przestrzenna,Studia drugiego stopnia
18,UNIWERSYTET MARII CURIE-SKŁODOWSKIEJ W LUBLINIE                                                                                                                                                                                                                ,Administracja publiczna,Studia pierwszego stopnia
18,UNIWERSYTET MEDYCZNY W BIAŁYMSTOKU                                                                                                                                                                                                                             ,Dietetyka,Studia drugiego stopnia
18,UNIWERSYTET MEDYCZNY W LUBLINIE                                                                                                                                                                                                                                ,Higiena stomatologiczna,Studia pierwszego stopnia
18,UNIWERSYTET MIKOŁAJA KOPERNIKA W TORUNIU                                                                                                                                                                                                                       ,Biologia,Studia pierwszego stopnia
18,UNIWERSYTET MIKOŁAJA KOPERNIKA W TORUNIU                                                                                                                                                                                                                       ,Diagnostyka molekularna,Studia drugiego stopnia
18,UNIWERSYTET MIKOŁAJA KOPERNIKA W TORUNIU                                                                                                                                                                                                                       ,Chemia medyczna,Studia pierwszego stopnia
18,UNIWERSYTET MIKOŁAJA KOPERNIKA W TORUNIU                                                                                                                                                                                                                       ,Ochrona dóbr kultury,Studia drugiego stopnia
18,UNIWERSYTET MUZYCZNY FRYDERYKA CHOPINA W WARSZAWIE                                                                                                                                                                                                             ,Wokalistyka,Studia drugiego stopnia
18,UNIWERSYTET MUZYCZNY FRYDERYKA CHOPINA W WARSZAWIE                                                                                                                                                                                                             ,Wokalistyka,Studia drugiego stopnia
18,UNIWERSYTET OPOLSKI                                                                                                                                                                                                                                            ,Zarządzanie,Studia pierwszego stopnia
18,UNIWERSYTET PAPIESKI JANA PAWŁA II W KRAKOWIE                                                                                                                                                                                                                  ,Praca socjalna,Studia pierwszego stopnia
18,UNIWERSYTET PEDAGOGICZNY IM. KOMISJI EDUKACJI NARODOWEJ W KRAKOWIE                                                                                                                                                                                             ,Sztuka i media,Studia pierwszego stopnia
18,UNIWERSYTET PRZYRODNICZO-HUMANISTYCZNY W SIEDLCACH                                                                                                                                                                                                             ,Dietetyka,Studia drugiego stopnia
18,UNIWERSYTET PRZYRODNICZO-HUMANISTYCZNY W SIEDLCACH                                                                                                                                                                                                             ,Dietetyka,Studia drugiego stopnia
18,UNIWERSYTET PRZYRODNICZY W LUBLINIE                                                                                                                                                                                                                            ,Biologia,Studia drugiego stopnia
18,UNIWERSYTET PRZYRODNICZY W POZNANIU                                                                                                                                                                                                                            ,Inżynieria rolnicza,Studia drugiego stopnia
18,UNIWERSYTET PRZYRODNICZY WE WROCŁAWIU                                                                                                                                                                                                                          ,Agrobiznes,Studia pierwszego stopnia
18,UNIWERSYTET RZESZOWSKI                                                                                                                                                                                                                                         ,Turystyka historyczna i kulturowa,Studia drugiego stopnia
18,UNIWERSYTET RZESZOWSKI                                                                                                                                                                                                                                         ,Biotechnologia,Studia drugiego stopnia
18,UNIWERSYTET SZCZECIŃSKI                                                                                                                                                                                                                                        ,Ekonomiczno-prawny,Studia drugiego stopnia
18,UNIWERSYTET SZCZECIŃSKI                                                                                                                                                                                                                                        ,Gospodarka nieruchomościami,Studia pierwszego stopnia
18,UNIWERSYTET SZCZECIŃSKI                                                                                                                                                                                                                                        ,Diagnostyka sportowa,Studia pierwszego stopnia
18,UNIWERSYTET ŚLĄSKI W KATOWICACH                                                                                                                                                                                                                                ,Geologia stosowana,Studia pierwszego stopnia
18,UNIWERSYTET ŚLĄSKI W KATOWICACH                                                                                                                                                                                                                                ,Fizyka medyczna,Studia pierwszego stopnia
18,UNIWERSYTET ŚLĄSKI W KATOWICACH                                                                                                                                                                                                                                ,Turystyka,Studia drugiego stopnia
18,UNIWERSYTET TECHNOLOGICZNO-PRZYRODNICZY IM. JANA I JĘDRZEJA ŚNIADECKICH W BYDGOSZCZY                                                                                                                                                                           ,Architektura wnętrz,Studia pierwszego stopnia
18,UNIWERSYTET W BIAŁYMSTOKU                                                                                                                                                                                                                                      ,Filologia polska,Studia pierwszego stopnia
18,UNIWERSYTET WARMIŃSKO-MAZURSKI W OLSZTYNIE                                                                                                                                                                                                                     ,Nauki o rodzinie,Studia pierwszego stopnia
18,UNIWERSYTET WARMIŃSKO-MAZURSKI W OLSZTYNIE                                                                                                                                                                                                                     ,Mikrobiologia,Studia drugiego stopnia
18,UNIWERSYTET WARSZAWSKI                                                                                                                                                                                                                                         ,Humanitarian action,Studia drugiego stopnia
18,UNIWERSYTET WARSZAWSKI                                                                                                                                                                                                                                         ,Humanitarian action,Studia drugiego stopnia
18,UNIWERSYTET WROCŁAWSKI                                                                                                                                                                                                                                         ,Archeologia,Studia pierwszego stopnia
18,UNIWERSYTET WROCŁAWSKI                                                                                                                                                                                                                                         ,"Dziedzictwo kultury materialnej - ochrona, promocja, gospodarowanie",Studia pierwszego stopnia
18,UNIWERSYTET WROCŁAWSKI                                                                                                                                                                                                                                         ,Filozofia,Studia pierwszego stopnia
18,UNIWERSYTET ZIELONOGÓRSKI                                                                                                                                                                                                                                      ,Pedagogika specjalna,Studia pierwszego stopnia
18,UNIWERSYTET ZIELONOGÓRSKI                                                                                                                                                                                                                                      ,Inżynieria środowiska,Studia drugiego stopnia
18,UNIWERSYTET ZIELONOGÓRSKI                                                                                                                                                                                                                                      ,Praca socjalna,Studia pierwszego stopnia
18,WOJSKOWA AKADEMIA TECHNICZNA IM. JAROSŁAWA DĄBROWSKIEGO W WARSZAWIE                                                                                                                                                                                            ,Informatyka w medycynie,Studia pierwszego stopnia
18,WOJSKOWA AKADEMIA TECHNICZNA IM. JAROSŁAWA DĄBROWSKIEGO W WARSZAWIE                                                                                                                                                                                            ,Informatyka w medycynie,Studia pierwszego stopnia
18,WYŻSZA SZKOŁA BANKOWA W WARSZAWIE                                                                                                                                                                                                                              ,Informatyka,Studia pierwszego stopnia
18,WYŻSZA SZKOŁA BANKOWA W WARSZAWIE                                                                                                                                                                                                                              ,Informatyka,Studia pierwszego stopnia
18,WYŻSZA SZKOŁA EKOLOGII I ZARZĄDZANIA W WARSZAWIE                                                                                                                                                                                                               ,Budownictwo,Studia pierwszego stopnia
18,WYŻSZA SZKOŁA EKOLOGII I ZARZĄDZANIA W WARSZAWIE                                                                                                                                                                                                               ,Budownictwo,Studia pierwszego stopnia
18,WYŻSZA SZKOŁA EKONOMICZNA W STALOWEJ WOLI                                                                                                                                                                                                                      ,Ekonomia,Studia pierwszego stopnia
18,WYŻSZA SZKOŁA EUROPEJSKA IM. KS. JÓZEFA TISCHNERA W KRAKOWIE                                                                                                                                                                                                   ,Grafika reklamowa i multimedia,Studia pierwszego stopnia
18,WYŻSZA SZKOŁA FINANSÓW I PRAWA W BIELSKU-BIAŁEJ                                                                                                                                                                                                                ,Prawo,Studia magisterskie jednolite
18,WYŻSZA SZKOŁA INFORMATYKI I UMIEJĘTNOŚCI W ŁODZI                                                                                                                                                                                                               ,Grafika,Studia pierwszego stopnia
18,WYŻSZA SZKOŁA INŻYNIERYJNO-EKONOMICZNA W RZESZOWIE                                                                                                                                                                                                             ,Geodezja i kartografia,Studia drugiego stopnia
18,WYŻSZA SZKOŁA MEDYCZNA W KŁODZKU                                                                                                                                                                                                                               ,Pielęgniarstwo,Studia pierwszego stopnia
18,WYŻSZA SZKOŁA MENEDŻERSKA W WARSZAWIE                                                                                                                                                                                                                          ,Pedagogika,Studia drugiego stopnia
18,WYŻSZA SZKOŁA MENEDŻERSKA W WARSZAWIE                                                                                                                                                                                                                          ,Pedagogika,Studia drugiego stopnia
18,WYŻSZA SZKOŁA PRZEDSIĘBIORCZOŚCI I ADMINISTRACJI W LUBLINIE                                                                                                                                                                                                    ,Transport,Studia pierwszego stopnia
18,WYŻSZA SZKOŁA UNI-TERRA W POZNANIU                                                                                                                                                                                                                             ,Pedagogika specjalna,Studia pierwszego stopnia
18,ZACHODNIOPOMORSKI UNIWERSYTET TECHNOLOGICZNY W SZCZECINIE                                                                                                                                                                                                      ,Turystyka i rekreacja,Studia pierwszego stopnia
19,AKADEMIA FINANSÓW I BIZNESU VISTULA W WARSZAWIE                                                                                                                                                                                                                ,Ekonomia,Studia drugiego stopnia
19,AKADEMIA FINANSÓW I BIZNESU VISTULA W WARSZAWIE                                                                                                                                                                                                                ,Ekonomia,Studia drugiego stopnia
19,AKADEMIA HUMANISTYCZNO-EKONOMICZNA W ŁODZI                                                                                                                                                                                                                     ,Informatyka,Studia pierwszego stopnia
19,AKADEMIA IGNATIANUM W KRAKOWIE                                                                                                                                                                                                                                 ,Kulturoznawstwo,Studia pierwszego stopnia
19,AKADEMIA IM. JAKUBA Z PARADYŻA W GORZOWIE WIELKOPOLSKIM                                                                                                                                                                                                        ,Energetyka,Studia pierwszego stopnia
19,AKADEMIA MORSKA W SZCZECINIE                                                                                                                                                                                                                                   ,Transport,Studia drugiego stopnia
19,AKADEMIA MUZYCZNA IM. KAROLA SZYMANOWSKIEGO W KATOWICACH                                                                                                                                                                                                       ,Edukacja artystyczna w zakresie sztuki muzycznej,Studia pierwszego stopnia
